NUM_ANP	ID_ANP	ID_DOF	NOMBRE	CATEGORIA DE MANEJO	ESTADOS	REGION	SUPERFICIE	SUPERFICIE TERRESTRE	SUPERFICIE MARINA	PRIMER DECRETO	ÚLTIMA PUBLICACIÓN DE DECRETO	PROGRAMA DE MANEJO	CERTIFICADO SINAP	DESIGNACIONES INTERNACIONALES
101	ANP00901101	9.1.02.101	Calakmul	Reserva de la Biosfera	Campeche	Península de Yucatán y Caribe Mexicano	728908.5763	728908.5763	0	1989-05-23	2023-08-31	2000-04-07	SINAP 001	Ramsar; UNESCO Reserva de la Biosfera MAB; UNESCO Patrimonio Mundial Mixto
102	ANP00801102	8.1.03.102	El Triunfo	Reserva de la Biosfera	Chiapas	Frontera Sur, Istmo y Pacífico Sur	119177.29	119177.29	0	1990-03-13	1990-06-15	2000-09-15	SINAP 016	UNESCO Reserva de la Biosfera MAB
103	ANP00404103	4.4.01.103	Cerro de la Silla	Monumento Natural	Nuevo León	Noreste y Sierra Madre Oriental	6039.39875	6039.39875	0	1991-04-26	1991-09-24	2014-01-06		
104	ANP00701104	7.1.01.104	Pantanos de Centla	Reserva de la Biosfera	Tabasco	Planicie Costera y Golfo de México	302706.625	302706.625	0	1992-08-06	1992-08-06	2000-09-26	SINAP 010	Ramsar; UNESCO Reserva de la Biosfera MAB
105	ANP00804105	8.4.01.105	Bonampak	Monumento Natural	Chiapas	Frontera Sur, Istmo y Pacífico Sur	4357.4	4357.4	0	1992-08-21	1992-08-21	2010-07-08	SINAP 053	
106	ANP00807106	8.7.02.106	Chan-Kin	Área de Protección de Flora y Fauna	Chiapas	Frontera Sur, Istmo y Pacífico Sur	12184.9875	12184.9875	0	1992-08-21	1992-08-21	2018-06-05	SINAP 026	
107	ANP00804107	8.4.02.107	Yaxchilán	Monumento Natural	Chiapas	Frontera Sur, Istmo y Pacífico Sur	2621.2523	2621.2523	0	1992-08-21	1992-08-21	2010-07-08		
108	ANP00801108	8.1.04.108	Lacan-Tun	Reserva de la Biosfera	Chiapas	Frontera Sur, Istmo y Pacífico Sur	61873.96025	61873.96025	0	1992-08-21	1992-08-24		SINAP 025	UNESCO Reserva de la Biosfera MAB
109	ANP00703109	7.3.04.109	Sistema Arrecifal Veracruzano	Parque Nacional	Veracruz	Planicie Costera y Golfo de México	65516.47081	12.240805	65504.23	1992-08-24	2012-11-29	2017-05-22	SINAP 050	Ramsar; UNESCO Reserva de la Biosfera MAB
110	ANP00201110	2.1.01.110	Alto Golfo de California y Delta del Río Colorado	Reserva de la Biosfera	Baja California y Sonora	Noroeste y Alto Golfo de California	934756.25	407147.5456	527608.7044	1993-06-10	1993-06-10	2009-09-25	SINAP 004	UNESCO Reserva de la Biosfera MAB
111	ANP00201111	2.1.02.111	El Pinacate y Gran Desierto de Altar	Reserva de la Biosfera	Sonora	Noroeste y Alto Golfo de California	714556.5	714556.5	0	1993-06-10	1993-06-10	1996-07-02	SINAP 006	UNESCO Reserva de la Biosfera MAB; UNESCO Patrimonio Mundial Natural
112	ANP00501112	5.1.02.112	Chamela-Cuixmala	Reserva de la Biosfera	Jalisco	Occidente y Pacífico Centro	13141.69245	13141.69245	0	1993-12-30	1994-11-25	1997-01-20	SINAP 012	UNESCO Reserva de la Biosfera MAB
113	ANP00401113	4.1.02.113	Sierra del Abra Tanchipa	Reserva de la Biosfera	San Luis Potosí	Noreste y Sierra Madre Oriental	21464.4425	21464.4425	0	1994-06-06	1994-06-06	2013-10-31	SINAP 068	
114	ANP00101114	1.1.03.114	Sierra La Laguna	Reserva de la Biosfera	Baja California Sur	Península de Baja California y Pacífico Norte	112437.0725	112437.0725	0	1994-06-06	1994-06-06	2003-06-19	SINAP 023	UNESCO Reserva de la Biosfera MAB
